,IPP,IPF,IPC,IPCD,IPCN,IPE,IPI,IPM,IPMD,IPMND,IPMFG,IPD,IPN,IPMIN,IPUT,IP,IPXMCA,PMI,PMP,GMPYQ,GMYXPQ,LHEL,LHELX,LHEM,LHNAG,LHUR,LHU680,LHU5,LHU14,LHU15,LHU26,LPNAG,LP,LPGD,LPMI,LPCC,LPEM,LPED,LPEN,LPSP,LPTU,LPT,LPFR,LPS,LPGOV,LPHRM,LPMOSA,PMEMP,GMCQ,GMCDQ,GMCNQ,GMCSQ,GMCANQ,HSFR,HSNE,HSMW,HSSOU,HSWST,HSBR,HMOB,PMNV,PMNO,PMDEL,MOCMQ,MSONDQ,FSNCOM,FSPCOM,FSPIN,FSPCAP,FSPUT,FSDXP,FSPXE,EXRSW,EXRJAN,EXRUK,EXRCAN,FYGM3,FYGM6,FYGT1,FYGT5,FYGT10,FYAAAC,FYBAAC,SFYGM3,SFYGM6,SFYGT1,SFYGT5,SFYGT10,SFYAAAC,SFYBAAC,FM1,FM2,FM3,FM2DQ,FMFBA,FMRRA,FMRNBA,FCLNQ,FCLBMC,CCINRV,PMCP,PWFSA,PWFCSA,PWIMSA,PWCMSA,PSM99Q,PUNEW,PU83,PU84,PU85,PUC,PUCD,PUS,PUXF,PUXHS,PUXM,LEHCC,LEHM,HHSNTN
1959:01,0.013397,0.00860975,0.00731626,0.00522765,0.00951714,0.0132842,0.0188465,0.0311758,0.04505,0.017359,0.0182128,0.0206055,0.0157552,0.00655576,0.00672848,0.0193862,81.443,66.9,70.3,0.00554639,0.00531837,0.0606246,-0.452557,-0.0028851,-0.00226334,5.9,15.5,1554,1164,1277,545,0.00304832,0.00337011,0.00303626,-0.0120403,-0.00746779,0.0056108,0.00885397,0.00151756,0.00305579,0.000750094,0.00456664,0.000796178,0.00488647,0.00125329,40.2,2.6,62.5,0.0098441,0.0447921,0.00361006,0.0056554,0.0687218,7.41878,5.84644,6.1506,6.23048,5.84064,7.34084,4.74493,55.5,70.5,67.3,0.0684084,0.178875,-0.0128946,-0.0154003,-0.0164928,0.00591668,-0.00570322,3.32,19.43,0.000301432,0,0.00102211,0.00793042,2.7,3.12,3.54,3.96,3.96,4.14,4.89,0.3,0.72,1.14,1.56,1.56,1.74,2.49,0.00359325,0.00383076,0.00380163,0.00306645,0.00444281,0.00152871,0.00604231,-0.000187892,0.2,0.0112213,66.6,0.00301659,0,0.00326265,-0.00634923,0.00618995,-0.000344768,-0.00223464,0.00340716,0.00472814,0,0,0.00435731,0,0,0,0.00347826,0.00461895,95.8
1959:02,0.0060228,0.0049165,0,0.0194056,-0.00474725,0.0107314,0.0138854,0.0256389,0.03865,0.0148965,0.0155224,0.022558,0.00239978,0.00216655,0.00802139,0.014311,82.477,67.1,71.2,0.0077358,0.00866371,0.0571584,-0.353822,0.00911293,0.00573411,5.6,15.3,1459,1093,1210,530,0.00597436,0.00663949,0.00949703,0,0.00780591,0.0102255,0.0151207,0.00398982,0.00378363,0.00249626,0.00518065,0.00397141,0.0040063,0.00225197,40.4,2.8,62.3,0.00980958,0.0035842,0.014773,0.00601486,0.0387456,7.39018,5.79909,6.02345,6.22059,5.92426,7.38461,4.83628,58.4,70.2,66.3,0.0165389,0.124923,0.024626,0.0248841,0.0247219,0.0386825,0.030418,3.25,19.95,0.00217688,0,0.00119885,-0.00514246,2.8,3.13,3.61,3.99,3.99,4.13,4.85,0,0.33,0.81,1.19,1.19,1.33,2.05,0.00214977,0.00520022,0.00516086,0.00484226,0.000246245,-0.00432238,-0.0134561,0.00788358,2.8,0.00992759,68.9,0,-0.0029985,0,0.00317965,0.0183432,-0.00103502,0,0.00677969,0.00470589,-0.00300752,0.00523561,0,0,0,0,-0.00347826,0.00917438,96.4
1959:03,0.0143427,0.0145475,0.0156532,0.00639682,0.0165057,0.0258174,0.0159596,0.0272541,0.0296504,0.0305147,0.0211115,0.0289191,0.0119133,0.0289253,0.00666268,0.0210897,83.992,66.9,72.1,0.00657552,0.00712375,0.0540672,-0.236989,0.00776537,0.00485252,5.2,14.9,1494,934,1039,408,0.00469746,0.00522241,0.0098465,0,0.026686,0.00725749,0.0117222,0.00150923,0.00147266,0.00298731,-0.00272331,0.00435041,0.00583756,0.00174803,40.5,2.8,63.6,-0.00330028,0.0145084,-0.0161223,0.00576824,0.009145,7.37149,5.61677,5.96871,6.28413,5.96101,7.33889,4.72739,63.4,66.9,64.8,-0.0185408,-0.0953939,0.0171791,0.0167774,0.0187231,0.0069484,0.00133067,3.26,20.1,-4.62674E-05,0,0.0013572,-0.00641359,2.95,3.27,3.72,4.12,4.12,4.23,4.86,-0.01,0.31,0.76,1.16,1.16,1.27,1.9,0,0.0031072,0.00308378,0.00126258,0.0019432,0.00315358,-0.00554866,0.0075407,3.3,0.00907133,63.6,0,0.0029985,0,0.00632914,0.00983667,0.000345125,0.00223464,0.00337268,0,0,0,0.0043384,0.00345423,0,0,0.00694447,0.00455582,96.9
1959:04,0.00828675,0.00956276,0.00475544,0.020121,0,0.0318937,0.00563869,0.0254331,0.0340501,0.00891574,0.0138403,0.0214383,0.00353226,0.0219344,0.0144396,0.0149279,84.916,68.2,73.9,0.00702489,0.00788855,0,-0.210721,-0.00106591,0.000543377,5.1,14.7,1479,1005,965,390,0.00544326,0.00627515,0.00583262,0.00804294,-0.000329218,0.00684914,0.0100143,0.00273823,0.00519831,0.00297841,0.0111188,0.002365,0.00325987,0.000748223,40.6,2.9,64.8,0.0118957,0.00226156,0.0191031,0.00668686,-0.0119619,7.31189,5.56068,5.87212,6.18826,5.98141,7.32185,4.78749,63.8,69.9,63,-0.0283136,0.0463317,0.0155999,0.014949,0.0190234,0.0427139,-0.0183409,3.21,20.09,4.62674E-05,0,-0.000706793,-0.000622859,2.84,3.32,3.96,4.35,4.31,4.37,4.96,-0.06,0.42,1.06,1.45,1.41,1.47,2.06,0.0071327,0.00721281,0.00715871,0.00680526,0.000908812,-0.00523136,-0.0103178,0.0160207,5.8,0.0107185,65.1,0.00300752,-0.0029985,0.00649353,-0.00632914,0.0109908,0.00206825,0.00222966,0,0.00468385,0.00300752,0.00260756,0.00431966,0.00344234,0,0,0.00689658,0,97.5
1959:05,0.00703661,0.00714134,-0.00475544,0.00745837,-0.00703363,0.0232504,0.00336802,-0.00658715,-0.00736286,-0.00300533,0.0011279,0.00887111,-0.00473151,-0.0198207,0.0103549,0.0011641,84.769,64.4,66.3,0.00349403,0.00342814,0.0512933,-0.145026,0.00231575,0.00389686,5,14.9,1522,963,963,415,0.00302787,0.00384722,0.00623236,0.00665338,0.00328731,0.00674359,0.00835601,0.00463785,0.00100596,0,0.0017963,0.00314466,0.00254381,-0.00162186,40.5,2.9,62.2,0.00398397,0.0106042,0.0010201,0.00527497,-0.00677499,7.31522,5.53733,5.83773,6.24998,5.96101,7.30653,4.81218,65.6,64.2,63.7,0.00242328,0.0244889,-0.008745,-0.00866406,-0.00549097,0.0108955,-0.0396,3.23,18.97,-0.00264066,0,-0.000710848,-0.00416234,3.21,3.52,4.07,4.5,4.34,4.46,5.04,-0.18,0.13,0.68,1.11,0.95,1.07,1.65,0.00354736,0.00648135,0.00643307,0.00375263,0.000466366,-0.00780757,-0.0269171,0.0129535,5.6,0.013015,69.5,-0.00300752,0.0029985,0,-0.00636945,0.00901607,0.00240757,0.0022247,0.00336135,0.00466201,0,0,0,0.00343054,0.00325204,0.00337268,0.00343054,0.00453516,97.2
1959:06,0.00115391,0.00823428,0.0130622,0.0196107,0.0082091,0.00219384,-0.0135407,-0.0611584,-0.105491,0.00474114,-0.0184364,-0.0499013,0.0176429,-0.0474667,0.00516895,-0.0242361,82.98,61.5,64.8,-0.00158172,-0.00185787,0.0487902,-0.12443,0.002495,0.00522837,5.1,14.3,1591,1047,889,394,0.00147323,0.00116224,0.00149193,0.0170944,-0.0052649,0.00200247,0.00187052,0.0021751,0.00146141,0,0.000807284,0.0031348,0.000705467,0.00324109,40.2,2.8,59,-0.00301692,-0.0106522,-0.00707835,0.00430411,0.0410226,7.34407,5.60212,5.9162,6.27852,5.91889,7.2807,4.86753,62,61.3,59.1,-0.0263998,0.0118536,0.0389204,0.0389128,0.0393764,0.0345017,0.0375663,3.11,19.72,-0.000440789,0,-0.00031649,-0.00177425,3.2,3.82,4.39,4.58,4.4,4.47,5.08,-0.24,0.38,0.95,1.14,0.96,1.03,1.64,0.00353482,0.00373325,0.00370558,0.00161444,0.00357642,0.012409,0.0104008,-0.00261336,-0.2,0.0131019,63.9,-0.00301659,-0.0029985,-0.00324149,-0.00963089,-0.00403164,0.00137316,0.00221976,0.00335009,0,0,0.00260078,0.00430108,0,0.00324149,0.00336135,0.00341881,0,96.9
1959:07,-0.00702847,-0.00234574,0.00116263,-0.0283067,0.0116082,-0.00876492,-0.0323267,-0.0789817,-0.128525,-0.00369616,-0.040405,-0.0673245,-0.00233261,-0.0544978,-0.010333,-0.0344896,79.468,55.1,57.4,-0.00530883,-0.00536069,-0.0487902,-0.191161,-0.0025721,-0.000757263,5.2,13.7,1607,1113,889,407,-0.00828949,-0.0101327,-0.0251772,-0.0899789,0.00032987,-0.0269545,-0.0502447,0.00271223,0.00224883,-0.00746272,0.0060785,0.00117302,0.00225416,0.00211351,40.3,2.8,53.6,0.00626458,0.023486,0.00290264,0.00439102,0.0466558,7.26543,5.43808,5.85793,6.16121,5.92959,7.28961,4.70048,50.9,54.4,57.4,-0.0487601,-0.0814778,-0.00470442,-0.00570759,-0.00765808,-0.0162025,0.0210393,3.14,19.09,0.00115955,0,-0.000764968,-0.00282442,3.38,3.87,4.42,4.57,4.43,4.43,5.09,-0.12,0.37,0.92,1.07,0.93,0.93,1.59,0.00141044,0.0040568,0.0036919,0.00270933,0.00234467,0.00529696,0.00285363,0.0128852,5.2,0.0129343,57.6,-0.00302572,-0.00602411,0,-0.00972455,0.00495971,0.00102863,0.00221484,0,0.00464038,0,-0.00260078,0.00428266,0.00341881,0,0,0.00340716,-0.0136676,96.7
1959:08,-0.00471324,-0.00352896,-0.00354376,-0.0304071,0.00576575,-0.00776765,-0.00237689,-0.00127292,-0.00397305,0.0013284,-0.00242476,-0.00873111,0.00351089,-0.00586233,0.0154441,-0.00120582,79.049,48.3,50.9,0.00071313,-0.000116857,0.0246926,-0.216913,-0.00114185,-0.00133081,5.5,13.7,1602,1275,895,449,0.000694986,-0.00042074,-0.0014806,-0.02455,-0.00961068,0.000966651,0.000218317,0.0018942,0.00203175,-0.000749344,-0.00196253,0.00273171,0.00407275,0.00693072,40.1,2.7,48,0.00985984,0.0237543,0.0104067,0.00440631,0.00414297,7.33954,5.48894,5.89164,6.32794,5.92959,7.25205,4.80402,42.3,43.7,57.5,-0.00487226,0.0858764,-0.037148,-0.0403662,-0.0405017,-0.0392747,-0.0351625,3.26,17.1,0.0024307,0.000722282,-0.00206656,-0.00304255,4.04,4.7,5,4.9,4.68,4.52,5.18,0.28,0.94,1.24,1.14,0.92,0.76,1.42,-0.00636269,0.00101163,0.00100452,-0.00146359,0.00102407,-0.00358809,0.00245351,0.00367956,2.3,0.0120914,61.6,0.0120483,0.0149928,0,0.00649353,0.00739375,0.00239603,0.00220995,0.0033389,0.00461895,0.00598804,0.00260078,0.0042644,0,0.00323102,0.00335009,0.00677969,0.00913248,96.4
1959:09,-0.00236498,-0.00472474,-0.00472728,0.0228834,-0.0127097,-0.00778836,-0.00117687,-0.0101823,-0.0162032,-0.0188245,-0.00854878,-0.00629296,-0.011704,0.00586233,-0.00256796,-0.00729457,78.154,49.7,50.4,0.00147949,0.00140138,-0.0246926,-0.277072,0.00217457,0.00391996,5.7,12.9,1750,1292,883,436,-0.00114605,-0.00177348,-0.00579539,0.00728335,-0.00936775,-0.0056925,-0.00547227,-0.00596531,0.00169502,-0.00601506,0.00196253,0.00272427,0.00447491,0.00234062,40.1,2.7,47.3,-0.00647235,-0.059573,-0.000884742,0.00487037,-0.112488,7.21156,5.53733,5.72031,6.09357,5.86647,7.21377,4.81218,39.1,50,58.5,-0.00265983,-0.0383703,-0.000326318,-0.000876808,-0.00278119,0.00140176,0.0118587,3.26,17.04,0.00318567,0.000360946,0.000912663,-0.00410635,4.05,4.53,4.8,4.72,4.53,4.57,5.28,0.07,0.55,0.82,0.74,0.55,0.59,1.3,-0.0035524,-0.000674309,-0.00100452,-0.003154,-0.00319758,-0.00640074,-0.00511007,0.00626239,3.2,0.0126277,63.1,-0.00902262,-0.0119762,0,-0.00649353,0.00459349,0.00341297,0,0.00332779,0,0,0,0.00424629,0.00340716,0,0,0.00673403,-0.00455582,96.1
1959:10,-0.0106977,-0.016744,-0.021607,-0.131549,0.0138401,-0.0158018,0.0163784,0.0388846,0.0644653,0.00167343,0.00734957,0.0125466,0.00116241,0.0643841,0.00892807,0.00608729,78.505,50.6,51.9,0.00779954,0.00691964,0,-0.299755,-0.00588687,-0.0085325,5.8,13.1,1745,1205,982,505,0.00586666,0.00603911,0.010329,0.0467839,0.0010079,0.0104517,0.0154637,0.00420653,0.00314029,0.00401405,0.00142488,0.00194137,0.00376019,0.00490979,39.8,2.4,48.8,-0.000539071,-0.00448702,-0.00441253,0.00518821,-0.139875,7.25559,5.50533,5.7869,6.21461,5.84064,7.16858,4.81218,43.4,51.1,54.6,-0.0225209,-0.067478,0.00260756,0.00402697,0.00685717,0.00589698,-0.00910961,3.24,17.15,0.000368698,0,-0.00127653,0.00273944,4.15,4.54,4.81,4.75,4.53,4.56,5.26,0.15,0.54,0.81,0.75,0.53,0.56,1.26,-0.000711997,0.00202156,0.00200803,0.00124812,-0.00198226,-0.000452305,0.00432561,0.00445726,1.9,0.00785818,65.1,-0.00302572,-0.00301659,0.00324149,-0.00653597,-0.00305998,0,0,0,0.00459771,0,0,0,0,0,0,0.00335009,0.00455582,95.8
