,FYFF
1959:01,2.4
1959:02,2.8
1959:03,2.96
1959:04,2.9
1959:05,3.39
1959:06,3.44
1959:07,3.5
1959:08,3.76
1959:09,3.98
1959:10,4
1959:11,3.99
1959:12,3.99
1960:01,3.97
1960:02,3.84
1960:03,3.92
1960:04,3.85
1960:05,3.32
1960:06,3.23
1960:07,2.98
1960:08,2.6
1960:09,2.47
1960:10,2.44
1960:11,1.98
1960:12,1.45
1961:01,2.54
1961:02,2.02
1961:03,1.5
1961:04,1.98
1961:05,1.73
1961:06,1.16
1961:07,2
1961:08,1.88
1961:09,2.26
1961:10,2.62
1961:11,2.33
1961:12,2.14
1962:01,2.37
1962:02,2.7
1962:03,2.69
1962:04,2.29
1962:05,2.68
1962:06,2.71
1962:07,2.93
1962:08,2.9
1962:09,2.9
1962:10,2.94
1962:11,2.93
1962:12,2.91
1963:01,3
1963:02,2.98
1963:03,2.9
1963:04,3
1963:05,2.99
1963:06,3.02
1963:07,3.49
1963:08,3.48
1963:09,3.5
1963:10,3.48
1963:11,3.38
1963:12,3.48
1964:01,3.48
1964:02,3.43
1964:03,3.47
1964:04,3.5
1964:05,3.5
1964:06,3.42
1964:07,3.5
1964:08,3.45
1964:09,3.36
1964:10,3.52
1964:11,3.85
1964:12,3.9
1965:01,3.98
1965:02,4.04
1965:03,4.09
1965:04,4.1
1965:05,4.04
1965:06,4.09
1965:07,4.12
1965:08,4.01
1965:09,4.08
1965:10,4.1
1965:11,4.32
1965:12,4.42
1966:01,4.6
1966:02,4.65
1966:03,4.67
1966:04,4.9
1966:05,5.17
1966:06,5.3
1966:07,5.53
1966:08,5.4
1966:09,5.53
1966:10,5.77
1966:11,5.4
1966:12,4.94
1967:01,5
1967:02,4.53
1967:03,4.05
1967:04,3.94
1967:05,3.98
1967:06,3.79
1967:07,3.89
1967:08,4
1967:09,3.88
1967:10,4.12
1967:11,4.51
1967:12,4.6
1968:01,4.72
1968:02,5.05
1968:03,5.76
1968:04,6.12
1968:05,6.07
1968:06,6.02
1968:07,6.03
1968:08,5.78
1968:09,5.92
1968:10,5.81
1968:11,6.02
1968:12,6.3
1969:01,6.64
1969:02,6.79
1969:03,7.41
1969:04,8.67
1969:05,8.9
1969:06,8.61
1969:07,9.19
1969:08,9.15
1969:09,9
1969:10,8.85
1969:11,8.97
1969:12,8.98
1970:01,8.98
1970:02,7.76
1970:03,8.1
1970:04,7.94
